#=====================================================
# File created:        Sun-10-Mar-2024-at-08-45-51AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        15.346923
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00451    0.3950   -1305.6637  0.7997 
   00452    0.3725   -1308.9854  0.7990 
   00453    0.3525   -1300.0853  0.8015 
   00454    0.4025   -1311.8678  0.8155 
   00455    0.3900   -1326.8560  0.8076 
   00456    0.3700   -1318.0601  0.8146 
   00457    0.3500   -1311.9937  0.8141 
   00458    0.3775   -1320.2141  0.8203 
   00459    0.3775   -1309.5530  0.8160 
   00460    0.3800   -1300.1393  0.8081 
   00461    0.4325   -1279.8661  0.8006 
   00462    0.4175   -1269.3424  0.7968 
   00463    0.4400   -1275.3560  0.7975 
   00464    0.4150   -1286.7238  0.7932 
   00465    0.4300   -1279.2001  0.8023 
   00466    0.4175   -1281.5093  0.7983 
   00467    0.4775   -1299.8389  0.8060 
   00468    0.4175   -1308.2705  0.8064 
   00469    0.4100   -1297.5764  0.7951 
   00470    0.4075   -1272.4570  0.7861 
   00471    0.3825   -1278.2281  0.7879 
   00472    0.3750   -1274.9854  0.8054 
   00473    0.3950   -1283.9290  0.8193 
   00474    0.3900   -1286.3147  0.8213 
   00475    0.4500   -1323.6505  0.8171 
   00476    0.3425   -1318.5169  0.8075 
   00477    0.3650   -1320.4724  0.8088 
   00478    0.3925   -1316.2898  0.8058 
   00479    0.4050   -1303.4684  0.7994 
   00480    0.3725   -1323.1817  0.8113 
   00481    0.3750   -1316.8493  0.8123 
   00482    0.4025   -1305.2203  0.8106 
   00483    0.4400   -1296.3194  0.8100 
   00484    0.3975   -1336.6508  0.8350 
   00485    0.3350   -1344.0534  0.8317 
   00486    0.3875   -1332.8533  0.8184 
   00487    0.4075   -1299.4272  0.8133 
   00488    0.4225   -1277.2507  0.8038 
   00489    0.3775   -1286.3085  0.8132 
   00490    0.4150   -1275.9449  0.8097 
   00491    0.4475   -1273.3440  0.8044 
   00492    0.3725   -1263.4211  0.7901 
   00493    0.4000   -1242.6340  0.7651 
   00494    0.3825   -1248.4059  0.7592 
   00495    0.4025   -1263.1214  0.7673 
   00496    0.4300   -1274.1413  0.7732 
   00497    0.4100   -1251.9368  0.7663 
   00498    0.4025   -1230.8431  0.7647 
   00499    0.3800   -1246.3173  0.7570 
   00500    0.4100   -1259.3579  0.7660 
   00501    0.4375   -1265.8270  0.7620 
   00502    0.4275   -1273.7902  0.7508 
   00503    0.4025   -1255.5460  0.7410 
   00504    0.4225   -1259.6772  0.7445 
   00505    0.4150   -1278.4762  0.7548 
   00506    0.4200   -1284.8711  0.7597 
   00507    0.4025   -1262.0263  0.7559 
   00508    0.3975   -1270.6677  0.7487 
   00509    0.3625   -1269.9783  0.7509 
   00510    0.4150   -1254.7241  0.7550 
   00511    0.4250   -1262.7064  0.7574 
   00512    0.3975   -1291.2310  0.7651 
   00513    0.3750   -1284.3579  0.7686 
   00514    0.3975   -1286.6499  0.7606 
   00515    0.4425   -1277.9782  0.7634 
   00516    0.4250   -1267.2863  0.7584 
   00517    0.3725   -1282.3768  0.7693 
   00518    0.4250   -1276.2431  0.7586 
   00519    0.4175   -1281.3920  0.7645 
