LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.350, Time: 5.770004 s
         1463779 function calls (1448302 primitive calls) in 7.309 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      293    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
     1868    0.001    0.000    0.001    0.000 typing.py:1695(<genexpr>)
      281    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
  216/200    0.001    0.000    0.001    0.000 _compiler.py:434(_get_literal_prefix)
      457    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1185    0.000    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
      574    0.000    0.000    0.001    0.000 enum.py:48(_is_dunder)
       47    0.000    0.000    0.013    0.000 __init__.py:1328(_add_data_doc)
     2519    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
     1547    0.000    0.000    0.001    0.000 {built-in method posix.fspath}
        4    0.000    0.000    0.001    0.000 enum.py:1647(convert_class)
      358    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
      275    0.000    0.000    0.016    0.000 inspect.py:2755(replace)
       18    0.000    0.000    0.011    0.001 rcsetup.py:721(validate_cycler)
        1    0.000    0.000    0.036    0.036 _axes.py:46(Axes)
       32    0.000    0.000    0.005    0.000 colors.py:1027(from_list)
      243    0.000    0.000    0.001    0.000 inspect.py:2773(__str__)
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      274    0.000    0.000    0.001    0.000 results.py:136(__new__)
     1584    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      552    0.000    0.000    0.000    0.000 {built-in method numpy.array}
     1185    0.000    0.000    0.004    0.000 <frozen abc>:117(__instancecheck__)
      330    0.000    0.000    0.001    0.000 typing.py:1287(__getattr__)
      354    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
     1919    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      352    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:920(find_spec)
      670    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      217    0.000    0.000    0.001    0.000 _parser.py:82(opengroup)
      144    0.000    0.000    0.001    0.000 typing.py:1705(__hash__)
      412    0.000    0.000    0.006    0.000 colors.py:218(is_color_like)
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1684(<setcomp>)
      294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1601    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     78/4    0.000    0.000    0.002    0.001 core.py:909(_parseCache)
        2    0.000    0.000    0.049    0.025 core.py:235(read_style_directory)
      847    0.000    0.000    0.001    0.000 _parser.py:79(groups)
      788    0.000    0.000    0.001    0.000 __init__.py:954(<lambda>)
      672    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
  122/111    0.000    0.000    0.053    0.000 _docstring.py:79(__call__)
      681    0.000    0.000    0.001    0.000 enum.py:193(__get__)
      900    0.000    0.000    0.001    0.000 {built-in method from_bytes}
      244    0.000    0.000    0.002    0.000 typing.py:1258(__init__)
     25/6    0.000    0.000    0.002    0.000 core.py:3816(streamline)
      142    0.000    0.000    0.001    0.000 _parser.py:896(_parse_flags)
      541    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      664    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
     1595    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      455    0.000    0.000    0.001    0.000 enum.py:38(_is_descriptor)
